stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0.5,13.5,24.97268019989133,,24.944972699973732,24.97268019989133,25.45813939999789,25.45813939999789,25.474681800231338,25.75832850020379,25.861284700222313,left,-13.5,1,1,0.39725889964029193,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
11,0.5,13.5,25.888985000085086,,25.861562500242144,25.888985000085086,26.375248200260103,26.375248200260103,26.39190800022334,,26.546036100015044,right,13.5,1,1,0.16778960032388568,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
12,0.5,13.0,26.572301600128412,,26.54632329987362,26.572301600128412,27.05840940028429,27.05840940028429,27.07524409983307,27.35820160014555,27.361419999971986,left,-13.0,1,1,0.29428189992904663,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
13,0.5,13.0,27.389240600168705,,27.361699299886823,27.389240600168705,27.875235500279814,27.875235500279814,27.891486400272697,,28.1281473999843,left,-13.0,0,0,0.24325970001518726,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
14,0.5,13.5,28.155411700252444,,28.12844410026446,28.155411700252444,28.641096599865705,28.641096599865705,28.658075700048357,28.941333000082523,29.011836899910122,right,13.5,1,1,0.3593391999602318,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
15,0.5,13.5,29.038561400026083,,29.012186400126666,29.038561400026083,29.52464050007984,29.52464050007984,29.541430099867284,29.826520999893546,29.845881100278348,left,-13.5,1,1,0.31222489988431334,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
16,0.5,13.5,29.872673999983817,,29.846196600236,29.872673999983817,30.358304200228304,30.358304200228304,30.375042700208724,30.659019500017166,30.861508899834007,left,-13.5,0,0,0.4903891999274492,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
17,0.5,14.0,30.889394599944353,,30.861803700216115,30.889394599944353,31.375260199885815,31.375260199885815,31.391691599972546,31.67504550004378,32.26296520000324,left,-14.0,1,1,0.8769898996688426,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
18,0.5,14.0,32.28885200014338,,32.26330860005692,32.28885200014338,32.775093500036746,32.775093500036746,32.79137950018048,33.07618879992515,33.22925190022215,left,-14.0,1,1,0.4350634003058076,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
19,0.5,14.0,33.256577000021935,,33.229559199884534,33.256577000021935,33.7420851001516,33.7420851001516,33.758653100114316,34.0556439999491,34.028724799863994,left,-14.0,1,1,0.26869440032169223,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
20,0.5,13.5,34.0556439999491,,34.029074099846184,34.0556439999491,34.54184200009331,34.54184200009331,34.55866579990834,,34.81192550016567,left,-13.5,1,1,0.26052849972620606,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
21,0.5,13.5,34.83914239984006,,34.81219440000132,34.83914239984006,35.325361399911344,35.325361399911344,35.34184020012617,35.624746300280094,35.83020320022479,right,13.5,1,1,0.5004765000194311,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
22,0.5,13.5,35.8555447999388,,35.830533700063825,35.8555447999388,36.34193710004911,36.34193710004911,36.35837080003694,36.655460900161415,36.628225199878216,left,-13.5,1,1,0.2792925997637212,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
23,0.5,13.0,36.655460900161415,,36.628520499914885,36.655460900161415,37.142829100135714,37.142829100135714,37.1582102002576,,37.428119299933314,left,-13.0,0,0,0.27072269981727004,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
24,0.5,13.5,37.45534420013428,,37.428416000213474,37.45534420013428,37.941901800222695,37.941901800222695,37.958615500014275,,38.21259010024369,right,13.5,0,0,0.2666135001927614,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
25,0.5,14.0,38.23898399993777,,38.21294320002198,38.23898399993777,38.7246095999144,38.7246095999144,38.74213619995862,39.024954200256616,39.61235840013251,right,14.0,1,1,0.8706297003664076,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
26,0.5,14.0,39.63892769999802,,39.61263410001993,39.63892769999802,40.12571849999949,40.12571849999949,40.14136790018529,40.43867830000818,40.411846600007266,left,-14.0,1,1,0.2754529998637736,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
27,0.5,14.0,40.43867830000818,,40.41213330021128,40.43867830000818,40.924794299993664,40.924794299993664,40.94114679982886,,41.16137140011415,right,14.0,1,1,0.22366990009322762,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
28,0.5,13.5,41.18875040020794,,41.161659699864686,41.18875040020794,41.67492809984833,41.67492809984833,41.69212030014023,,41.81262640003115,left,-13.5,1,1,0.13229330023750663,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
29,0.5,13.5,41.83905619988218,,41.812959800008684,41.83905619988218,42.325584600213915,42.325584600213915,42.34226559987292,,42.461889300029725,left,-13.5,0,0,0.11955330008640885,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
30,0.5,14.0,42.48878329992294,,42.46217870013788,42.48878329992294,42.97557260002941,42.97557260002941,42.99221740011126,,43.228441500104964,left,-14.0,1,1,0.24553659977391362,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
31,0.5,14.0,43.255520599894226,,43.2287393999286,43.255520599894226,43.741421500220895,43.741421500220895,43.75779539998621,,43.79471419984475,right,14.0,1,1,0.038534400053322315,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
32,0.5,14.0,43.807856400031596,,43.794986200053245,43.807856400031596,44.308079100213945,44.308079100213945,44.308079100213945,,44.56142600020394,right,14.0,0,0,0.24932679999619722,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
33,0.5,14.5,44.590122799854726,,44.561711200047284,44.590122799854726,45.07508150022477,45.07508150022477,45.0914544002153,,45.311199999880046,right,14.5,0,0,0.22439009975641966,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
34,0.5,15.0,45.338885799981654,,45.31148160016164,45.338885799981654,45.825376600027084,45.825376600027084,45.84197810012847,,46.07947860006243,left,-15.0,1,1,0.2500967001542449,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
35,0.5,15.0,46.10581530025229,,46.079756800085306,46.10581530025229,46.592515599913895,46.592515599913895,46.608510199934244,,46.862110500223935,left,-15.0,0,0,0.2651633000932634,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
36,0.5,15.5,46.88948919996619,,46.86239820020273,46.88948919996619,47.37541510025039,47.37541510025039,47.391848300118,47.675505300052464,47.89536159997806,left,-15.5,1,1,0.501573400106281,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
37,0.5,15.5,47.92233210010454,,47.89566719997674,47.92233210010454,48.407999500166625,48.407999500166625,48.42482489999384,48.70819030003622,48.778906899970025,right,15.5,0,0,0.3535347003489733,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
38,0.5,16.0,48.80534760002047,,48.7793681002222,48.80534760002047,49.291571400128305,49.291571400128305,49.30811779992655,49.59156299987808,50.095039300154895,right,16.0,1,1,0.7925630998797715,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
39,0.5,16.0,50.12245689984411,,50.09535979991779,50.12245689984411,50.60876750014722,50.60876750014722,50.625199300237,50.908751599956304,50.945059900172055,right,16.0,0,0,0.3215081002563238,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
40,0.5,16.5,50.972645400092006,,50.9453480001539,50.972645400092006,51.458577500190586,51.458577500190586,51.47512990003452,51.758274800144136,52.07805779995397,left,-16.5,1,1,0.6011767997406423,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
41,0.5,16.5,52.10582980001345,,52.078364700078964,52.10582980001345,52.59111799998209,52.59111799998209,52.60808160016313,52.89150890009478,53.01204890012741,right,16.5,1,1,0.4172510001808405,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
42,0.5,16.5,53.03884400008246,,53.012325200252235,53.03884400008246,53.52500810008496,53.52500810008496,53.54158399999142,53.82575140008703,54.02919520018622,right,16.5,1,1,0.4945788998156786,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
43,0.5,16.0,54.055767599958926,,54.02952350024134,54.055767599958926,54.54180710017681,54.54180710017681,54.55884650023654,54.841781800147146,54.894777100067586,right,16.0,1,1,0.3373671001754701,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
44,0.5,16.0,54.92241419991478,,54.89511090004817,54.92241419991478,55.438513699918985,55.438513699918985,55.438513699918985,55.74162320001051,55.76130639994517,left,-16.0,0,0,0.310317300260067,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
45,0.5,16.5,55.78871650015935,,55.76160439988598,55.78871650015935,56.27480350015685,56.27480350015685,56.29159570019692,56.57541309995577,56.64440000010654,right,16.5,1,1,0.3577145002782345,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
46,0.5,16.5,56.673073400277644,,56.644679500255734,56.673073400277644,57.158019999973476,57.158019999973476,57.174754300154746,57.45813990011811,57.61301970016211,left,-16.5,1,1,0.4468446997925639,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
47,0.5,16.5,57.638920799829066,,57.613382699899375,57.638920799829066,58.125159500166774,58.125159500166774,58.14246209990233,58.43885749997571,58.41160609992221,left,-16.5,0,0,0.27618200005963445,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
48,0.5,17.0,58.43885749997571,,58.4119160999544,58.43885749997571,58.92604350019246,58.92604350019246,58.941925399936736,59.22570239985362,59.66160040022805,right,17.0,1,1,0.7177805001847446,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
49,0.5,17.0,59.6891184002161,,59.66191599983722,59.6891184002161,60.17477210005745,60.17477210005745,60.19162150006741,60.47429790021852,60.51193909998983,right,17.0,0,0,0.32609029999002814,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
