stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.022653600201010704,,0.004966500215232372,0.022653600201010704,0.6283418000675738,0.6283418000675738,0.6385965999215841,0.940487100277096,15.6524530001916,left,-10.0,0,0,14.805200799833983,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
1,2,12.0,15.670479100197554,,15.652597700245678,15.670479100197554,16.157976699993014,16.157976699993014,16.174653300084174,16.45797780016437,17.496840000152588,left,-12.0,0,0,1.332549899816513,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
2,1,14.0,17.52249150024727,,17.497159800026566,17.52249150024727,18.02264690026641,18.02264690026641,18.041755000129342,18.325685900170356,18.5114203998819,right,14.0,1,1,0.47230170015245676,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
3,1,13.0,18.538922499865294,,18.511721500195563,18.538922499865294,19.025198299903423,19.025198299903423,19.04182820022106,19.325176500249654,19.794723500031978,left,-13.0,1,1,0.7514675999991596,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
4,1,13.0,19.822360000107437,,19.795053800102323,19.822360000107437,20.30812310008332,20.30812310008332,20.324696000199765,,20.578497900161892,right,13.0,1,1,0.26652569975703955,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
5,1,13.0,20.60526579990983,,20.578784400131553,20.60526579990983,21.091134800110012,21.091134800110012,21.107808500062674,21.392133600078523,21.412885900121182,right,13.0,0,0,0.30585649982094765,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
6,1,14.0,21.43874179990962,,21.41323099983856,21.43874179990962,21.924324800260365,21.924324800260365,21.940542900003493,22.22607359988615,22.329187899827957,left,-14.0,1,1,0.3921249997802079,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
7,1,14.0,22.35553599987179,,22.329509700182825,22.35553599987179,22.842132600024343,22.842132600024343,22.858353199902922,23.14309940021485,23.212865100242198,right,14.0,1,1,0.3532273001037538,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
8,0.5,14.0,23.238840400241315,,23.213177000172436,23.238840400241315,23.72474869992584,23.72474869992584,23.741353999823332,24.024575899820775,24.178521300200373,left,-14.0,1,1,0.4397689001634717,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
9,0.5,13.5,24.205296900123358,,24.17889069998637,24.205296900123358,24.691124000120908,24.691124000120908,24.707984699867666,,24.944696200080216,right,13.5,1,1,0.23858590004965663,441969,001,2024-09-09_23h26.44.218,adaptive_staircase,2024.1.5,None,2024-09-09 23h26.53.699040 +0530,
