stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03470820002257824,,0.016834199894219637,0.03470820002257824,0.5516034001484513,0.5516034001484513,0.5682347998954356,0.851293200161308,7.604734300170094,left,-10.0,0,0,6.984342799987644,192782,001,2024-09-06_11h36.39.433,adaptive_staircase,2024.1.5,None,2024-09-06 11h36.45.466084 +0530,
1,2,12.0,7.614184800069779,,7.604837900027633,7.614184800069779,8.115634399931878,8.115634399931878,8.115634399931878,8.415377900004387,8.533187299966812,right,12.0,0,0,0.4144415999762714,192782,001,2024-09-06_11h36.39.433,adaptive_staircase,2024.1.5,None,2024-09-06 11h36.45.466084 +0530,
2,2,14.0,8.548926400020719,,8.533268200233579,8.548926400020719,9.04873719997704,9.04873719997704,9.04873719997704,9.348710500169545,9.416448300238699,left,-14.0,0,0,0.3575740996748209,192782,001,2024-09-06_11h36.39.433,adaptive_staircase,2024.1.5,None,2024-09-06 11h36.45.466084 +0530,
,,,9.431978499982506,,9.416510600131005,9.431978499982506,9.915432699956,9.915432699956,9.93210140010342,10.215406999923289,,,,,,,,,,,,,,
