stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03414030000567436,,0.016329700127243996,0.03414030000567436,0.519569500349462,0.519569500349462,0.5340102002955973,0.8337881001643836,0.9226755001582205,right,10.0,1,1,0.39166099997237325,656000,001,2024-09-06_11h39.27.241,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.32.148053 +0530,
1,2,8.0,0.9343402003869414,,0.9227758999913931,0.9343402003869414,1.4342296002432704,1.4342296002432704,1.4342296002432704,1.733865899965167,1.9515455001965165,left,-8.0,1,1,0.5072685000486672,656000,001,2024-09-06_11h39.27.241,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.32.148053 +0530,
2,1,6.0,1.9674708000384271,,1.9516316000372171,1.9674708000384271,2.451090299990028,2.451090299990028,2.4671724000945687,2.7503947000950575,2.7684305999428034,left,-6.0,0,0,0.31182949990034103,656000,001,2024-09-06_11h39.27.241,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.32.148053 +0530,
3,1,7.0,2.784011899959296,,2.7684973999857903,2.784011899959296,3.2838624003343284,3.2838624003343284,3.2838624003343284,3.5836931001394987,3.701410500332713,left,-7.0,0,0,0.40510019985958934,656000,001,2024-09-06_11h39.27.241,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.32.148053 +0530,
4,1,8.0,3.717419400345534,,3.7014785003848374,3.717419400345534,4.20076770009473,4.20076770009473,4.217220100108534,4.500487700104713,4.518156600184739,right,8.0,0,0,0.3012423999607563,656000,001,2024-09-06_11h39.27.241,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.32.148053 +0530,
5,1,9.0,4.534401500131935,,4.518221900332719,4.534401500131935,5.033999400213361,5.033999400213361,5.033999400213361,5.333808300085366,5.351456000003964,right,9.0,1,1,0.3092132997699082,656000,001,2024-09-06_11h39.27.241,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.32.148053 +0530,
6,1,9.0,5.367436500266194,,5.351515599992126,5.367436500266194,5.867127300240099,5.867127300240099,5.867127300240099,,6.13511240016669,left,-9.0,1,1,0.2616476998664439,656000,001,2024-09-06_11h39.27.241,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.32.148053 +0530,
7,1,9.0,6.150596700143069,,6.135174400173128,6.150596700143069,6.650489600375295,6.650489600375295,6.650489600375295,6.950446800328791,6.935243000276387,left,-9.0,0,0,0.28117300011217594,656000,001,2024-09-06_11h39.27.241,adaptive_staircase,2024.1.5,None,2024-09-06 11h39.32.148053 +0530,
,,,6.950446800328791,,6.935309200081974,6.950446800328791,7.450790200382471,7.450790200382471,7.450790200382471,7.750481100287288,,,,,,,,,,,,,,
